sep=;
"Time";"CPU_USAGE (%)";"MEMORY_USAGE (MB)";"IOPs_Disk_write ";"IOPs_Disk_read";"TX_total (kbps)";"TX_error (kbps)";"RX_total (kbps)";"RX_error (kbps)"
"2019-04-25T00:00:00+07:00";20.482517482517487;940.268;0.33466439608391607;0;1579.0921958041959;0;1589.164101818182;0
"2019-04-25T00:01:00+07:00";20.433566433566437;940.268;0.33231793230769235;0;1579.1389941258742;0;1589.3358366433567;0
"2019-04-25T00:02:00+07:00";20.402791495722656;940.172;0.3285048367818638;0;1578.416189533933;0;1589.2346189553512;0
"2019-04-25T00:03:00+07:00";20.50769230769231;940.332;0.3317313163636364;0;1597.9413325874127;0;1608.9926109090911;0
"2019-04-25T00:04:00+07:00";20.55243030565289;940.3;0.331144422536149;0;1599.7358100119077;0;1610.7138147856099;0
"2019-04-25T00:05:00+07:00";20.4615327380328;940.3;0.3487430811907465;0;1591.7822926483095;0;1602.5699886517514;0
"2019-04-25T00:06:00+07:00";20.233498516928055;940.236;0.34052941248868535;0;1582.0110656971221;0;1592.1278653050674;0
"2019-04-25T00:07:00+07:00";20.033560829773194;940.364;0.33671745770141037;0;1574.312072080539;0;1584.2535853836125;0
"2019-04-25T00:08:00+07:00";19.695104895104897;940.3;0.33759747580419586;0;1555.2209454545455;0;1566.0235793006996;0
"2019-04-25T00:09:00+07:00";19.41958041958042;940.268;0.3367175518881119;0;1540.106721118881;0;1550.8767440559443;0
"2019-04-25T00:10:00+07:00";19.35802571354486;940.252;0.33759719250585246;0;1536.5590462441573;0;1547.2455178359291;0
"2019-04-25T00:11:00+07:00";19.763619778780605;940.188;0.33495742297279196;0;1543.0261871108921;0;1554.0146578897975;0
"2019-04-25T00:12:00+07:00";19.967832167832167;940.188;0.32557184895104896;0;1537.6080872727273;0;1548.3160995804199;0
"2019-04-25T00:13:00+07:00";19.970634956820966;940.284;0.32557194002012313;0;1504.6119475837618;0;1511.257364827235;0
"2019-04-25T00:14:00+07:00";20.050344041861806;940.252;0.3226386789821877;0;1487.234197696728;0;1492.795887889262;0
